symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
301033.SZ,eastmoney,1.0,False,eastmoney,,
301035.SZ,eastmoney,1.0,False,eastmoney,,
301038.SZ,eastmoney,1.0,False,eastmoney,,
301052.SZ,eastmoney,1.0,False,eastmoney,,
301058.SZ,eastmoney,1.0,False,eastmoney,,
301066.SZ,eastmoney,1.0,False,eastmoney,,
301069.SZ,eastmoney,1.0,False,eastmoney,,
301082.SZ,eastmoney,1.0,False,eastmoney,,
301092.SZ,eastmoney,1.0,False,eastmoney,,
301097.SZ,eastmoney,1.0,False,eastmoney,,
301099.SZ,eastmoney,1.0,False,eastmoney,,
301107.SZ,eastmoney,1.0,False,eastmoney,,
301108.SZ,eastmoney,1.0,False,eastmoney,,
301111.SZ,eastmoney,1.0,False,eastmoney,,
301119.SZ,eastmoney,1.0,False,eastmoney,,
301120.SZ,eastmoney,1.0,False,eastmoney,,
301121.SZ,eastmoney,1.0,False,eastmoney,,
301123.SZ,eastmoney,1.0,False,eastmoney,,
301131.SZ,eastmoney,1.0,False,eastmoney,,
301151.SZ,eastmoney,1.0,False,eastmoney,,
301156.SZ,eastmoney,1.0,False,eastmoney,,
301173.SZ,eastmoney,1.0,False,eastmoney,,
301182.SZ,eastmoney,1.0,False,eastmoney,,
301193.SZ,eastmoney,1.0,False,eastmoney,,
301202.SZ,eastmoney,1.0,False,eastmoney,,
301219.SZ,eastmoney,1.0,False,eastmoney,,
301226.SZ,eastmoney,1.0,False,eastmoney,,
301233.SZ,eastmoney,1.0,False,eastmoney,,
301239.SZ,eastmoney,1.0,False,eastmoney,,
301251.SZ,eastmoney,1.0,False,eastmoney,,
301266.SZ,eastmoney,1.0,False,eastmoney,,
301269.SZ,eastmoney,1.0,False,eastmoney,,
301276.SZ,eastmoney,1.0,False,eastmoney,,
301293.SZ,eastmoney,1.0,False,eastmoney,,
301300.SZ,eastmoney,1.0,False,eastmoney,,
301303.SZ,eastmoney,1.0,False,eastmoney,,
301305.SZ,eastmoney,1.0,False,eastmoney,,
301306.SZ,eastmoney,1.0,False,eastmoney,,
301311.SZ,eastmoney,1.0,False,eastmoney,,
301312.SZ,eastmoney,1.0,False,eastmoney,,
301313.SZ,eastmoney,1.0,False,eastmoney,,
301315.SZ,eastmoney,1.0,False,eastmoney,,
301327.SZ,eastmoney,1.0,False,eastmoney,,
301328.SZ,eastmoney,1.0,False,eastmoney,,
301333.SZ,eastmoney,1.0,False,eastmoney,,
301335.SZ,eastmoney,1.0,False,eastmoney,,
301337.SZ,eastmoney,1.0,False,eastmoney,,
301366.SZ,eastmoney,1.0,False,eastmoney,,
301378.SZ,eastmoney,1.0,False,eastmoney,,
301382.SZ,eastmoney,1.0,False,eastmoney,,
301418.SZ,eastmoney,1.0,False,eastmoney,,
301448.SZ,eastmoney,1.0,False,eastmoney,,
301456.SZ,eastmoney,1.0,False,eastmoney,,
301458.SZ,eastmoney,1.0,False,eastmoney,,
301469.SZ,eastmoney,1.0,False,eastmoney,,
301486.SZ,eastmoney,1.0,False,eastmoney,,
301502.SZ,eastmoney,1.0,False,eastmoney,,
