date,industry,portfolio_weight,benchmark_weight,active_weight
2026-05-25,Q 卫生,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-25,R 文化传播,0.0,0.004268943436499467,-0.004268943436499467
2026-05-25,E 建筑业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-25,G 运输仓储,0.0,0.007470651013874066,-0.007470651013874066
2026-05-25,J 金融业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-25,N 公共环保,0.0,0.010672358591248666,-0.010672358591248666
2026-05-25,D 水电煤气,0.0,0.011739594450373533,-0.011739594450373533
2026-05-25,F 批发零售,0.0,0.0192102454642476,-0.0192102454642476
2026-05-25,C 制造业,0.3539423231111134,0.3895410885805763,-0.03559876546946289
2026-05-26,B 采矿业,0.0202168836822414,0.00641025641025641,0.01380662727198499
2026-05-26,A 农林牧渔,0.0183857590331446,0.005341880341880342,0.013043878691264258
2026-05-26,K 房地产,0.0184333353359959,0.007478632478632479,0.01095470285736342
2026-05-26,L 商务服务,0.0196641582391153,0.009615384615384616,0.010048773623730686
2026-05-26,D 水电煤气,0.0201884030357355,0.011752136752136752,0.008436266283598746
2026-05-26,I 信息技术,0.055664025335231,0.04807692307692308,0.007587102258307922
2026-05-26,M 科研服务,0.0203396684035701,0.013888888888888888,0.006450779514681211
2026-05-26,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-26,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-26,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-26,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-26,G 运输仓储,0.0,0.007478632478632479,-0.007478632478632479
2026-05-26,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-26,unknown,0.4378896572797245,0.4465811965811966,-0.008691539301472095
2026-05-26,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-26,C 制造业,0.3785430558221516,0.38995726495726496,-0.011414209135113373
2026-05-26,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-27,B 采矿业,0.0196426494833501,0.00641025641025641,0.013232393073093691
2026-05-27,unknown,0.4593966588279279,0.4465811965811966,0.012815462246731302
2026-05-27,K 房地产,0.017999494494712,0.007478632478632479,0.010520862016079519
2026-05-27,D 水电煤气,0.0206928069452294,0.011752136752136752,0.008940670193092647
2026-05-27,I 信息技术,0.0558292009720334,0.04807692307692308,0.007752277895110321
2026-05-27,M 科研服务,0.0200954282066925,0.013888888888888888,0.00620653931780361
2026-05-27,C 制造业,0.3956385677310815,0.38995726495726496,0.0056813027738165656
2026-05-27,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-27,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-27,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-27,A 农林牧渔,0.0,0.005341880341880342,-0.005341880341880342
2026-05-27,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-27,G 运输仓储,0.0,0.007478632478632479,-0.007478632478632479
2026-05-27,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-27,L 商务服务,0.0,0.009615384615384616,-0.009615384615384616
2026-05-27,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-27,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-28,I 信息技术,0.096348051576387,0.0481283422459893,0.048219709330397695
2026-05-28,C 制造业,0.4149653788696322,0.39037433155080214,0.02459104731883005
2026-05-28,B 采矿业,0.0192041453202128,0.006417112299465241,0.01278703302074756
2026-05-28,D 水电煤气,0.0209153684777773,0.0106951871657754,0.0102201813120019
2026-05-28,K 房地产,0.0172591268056094,0.0074866310160427805,0.009772495789566618
2026-05-28,M 科研服务,0.0196028222369369,0.013903743315508022,0.005699078921428877
2026-05-28,P 教育,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-28,Q 卫生,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-28,R 文化传播,0.0,0.0042780748663101605,-0.0042780748663101605
2026-05-28,A 农林牧渔,0.0,0.0053475935828877,-0.0053475935828877
2026-05-28,E 建筑业,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-28,G 运输仓储,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-28,J 金融业,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-28,L 商务服务,0.0,0.009625668449197862,-0.009625668449197862
2026-05-28,N 公共环保,0.0,0.0106951871657754,-0.0106951871657754
2026-05-28,F 批发零售,0.0,0.019251336898395723,-0.019251336898395723
2026-05-28,unknown,0.40089953468232653,0.4470588235294118,-0.046159288847085256
2026-05-29,C 制造业,0.4984901462171169,0.39037433155080214,0.10811581466631476
2026-05-29,I 信息技术,0.0963058373900402,0.0481283422459893,0.0481774951440509
2026-05-29,K 房地产,0.0169720942041417,0.0074866310160427805,0.00948546318809892
2026-05-29,M 科研服务,0.0203809173488586,0.013903743315508022,0.006477174033350578
2026-05-29,P 教育,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-29,Q 卫生,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-29,R 文化传播,0.0,0.0042780748663101605,-0.0042780748663101605
2026-05-29,A 农林牧渔,0.0,0.0053475935828877,-0.0053475935828877
2026-05-29,B 采矿业,0.0,0.006417112299465241,-0.006417112299465241
2026-05-29,E 建筑业,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-29,G 运输仓储,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-29,J 金融业,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-29,L 商务服务,0.0,0.009625668449197862,-0.009625668449197862
2026-05-29,D 水电煤气,0.0,0.0106951871657754,-0.0106951871657754
2026-05-29,N 公共环保,0.0,0.0106951871657754,-0.0106951871657754
2026-05-29,F 批发零售,0.0,0.019251336898395723,-0.019251336898395723
2026-05-29,unknown,0.3568536940838614,0.4470588235294118,-0.09020512944555037
2026-06-01,C 制造业,0.4791633363581607,0.38995726495726496,0.08920607140089576
2026-06-01,I 信息技术,0.059500587797329196,0.04807692307692308,0.011423664720406117
2026-06-01,K 房地产,0.0166252912374575,0.007478632478632479,0.009146658758825019
2026-06-01,M 科研服务,0.0204538878507636,0.013888888888888888,0.006564998961874711
